10000;0.0;0.001;0.01
20000;0.0;0.001;0.007
30000;0.0;0.001;0.011
40000;0.0;0.001;0.008
50000;0.0;0.002;0.009
60000;0.0;0.003;0.004
70000;0.0;0.003;0.003
80000;0.0;0.003;0.006
90000;0.0;0.005;0.004
100000;0.0;0.003;0.004
110000;0.0;0.002;0.005
120000;0.0;0.004;0.006
130000;0.0;0.004;0.007
140000;0.0;0.005;0.007
150000;0.0;0.005;0.008
160000;0.0;0.006;0.01
170000;0.0;0.006;0.01
180000;0.0;0.007;0.01
190000;0.0;0.007;0.012
200000;0.0;0.007;0.012
210000;0.0;0.008;0.013
220000;0.0;0.009;0.013
230000;0.0;0.009;0.016
240000;0.0;0.009;0.016
250000;0.0;0.01;0.017
260000;0.0;0.011;0.017
270000;0.0;0.012;0.018
280000;0.0;0.012;0.02
290000;0.0;0.013;0.021
300000;0.0;0.014;0.024
310000;0.0;0.013;0.024
320000;0.0;0.016;0.027
330000;0.0;0.015;0.025
340000;0.0;0.016;0.028
350000;0.0;0.016;0.027
360000;0.0;0.016;0.029
370000;0.0;0.017;0.029
380000;0.0;0.018;0.03
390000;0.0;0.018;0.032
400000;0.0;0.019;0.033
410000;0.0;0.018;0.034
420000;0.0;0.02;0.035
430000;0.0;0.02;0.034
440000;0.0;0.02;0.034
450000;0.0;0.021;0.036
460000;0.0;0.021;0.037
470000;0.0;0.024;0.038
480000;0.0;0.023;0.039
490000;0.0;0.027;0.049
500000;0.0;0.023;0.043
510000;0.0;0.025;0.044
520000;0.0;0.025;0.045
530000;0.0;0.02;0.038
540000;0.0;0.025;0.044
550000;0.0;0.027;0.046
560000;0.0;0.027;0.048
570000;0.0;0.027;0.047
580000;0.0;0.028;0.048
590000;0.0;0.028;0.05
600000;0.0;0.029;0.051
610000;0.0;0.029;0.051
620000;0.0;0.03;0.052
630000;0.0;0.03;0.053
640000;0.0;0.03;0.054
650000;0.0;0.031;0.058
660000;0.0;0.033;0.055
670000;0.0;0.032;0.061
680000;0.0;0.034;0.058
690000;0.0;0.033;0.058
700000;0.0;0.03;0.057
710000;0.0;0.035;0.061
720000;0.0;0.036;0.061
730000;0.0;0.038;0.067
740000;0.0;0.038;0.067
750000;0.0;0.038;0.068
760000;0.0;0.04;0.074
770000;0.0;0.04;0.072
780000;0.0;0.038;0.067
790000;0.0;0.04;0.072
800000;0.0;0.04;0.074
810000;0.0;0.042;0.071
820000;0.0;0.041;0.075
830000;0.0;0.045;0.074
840000;0.0;0.024;0.063
850000;0.0;0.044;0.077
860000;0.0;0.045;0.076
870000;0.0;0.044;0.112
880000;0.0;0.043;0.077
890000;0.0;0.045;0.079
900000;0.0;0.042;0.078
910000;0.0;0.047;0.081
920000;0.0;0.048;0.085
930000;0.0;0.057;0.085
940000;0.0;0.048;0.085
950000;0.0;0.049;0.089
960000;0.0;0.048;0.089
970000;0.0;0.05;0.088
980000;0.0;0.052;0.091
990000;0.0;0.055;0.104
1000000;0.0;0.052;0.092
