10000;0.032;0.013;
20000;0.004;0.006;
30000;0.006;0.007;
40000;0.011;0.014;
50000;0.015;0.016;
60000;0.023;0.026;
70000;0.025;0.032;
80000;0.041;0.023;
90000;0.037;0.047;
100000;0.044;0.051;
110000;0.078;0.083;
120000;0.05;0.06;
130000;0.08;0.074;
140000;0.054;0.062;
150000;0.09;0.09;
160000;0.106;0.099;
170000;0.129;0.083;
180000;0.124;0.123;
190000;0.111;0.121;
200000;0.254;0.176;
210000;0.154;0.16;
220000;0.168;0.178;
230000;0.347;0.259;
240000;0.167;0.118;
250000;0.203;0.265;
260000;0.188;0.26;
270000;0.231;0.223;
280000;0.198;0.161;
290000;0.242;0.241;
300000;0.268;0.258;
310000;0.274;0.262;
320000;0.344;0.353;
330000;0.251;0.28;
340000;0.311;0.318;
350000;0.328;0.307;
360000;0.304;0.334;
370000;0.382;0.294;
380000;0.331;0.33;
390000;0.31;0.314;
400000;0.367;0.272;
410000;0.332;0.327;
420000;0.35;0.354;
430000;0.357;0.358;
440000;0.372;0.425;
450000;0.368;0.369;
460000;0.385;0.385;
470000;0.427;0.418;
480000;0.419;0.412;
490000;0.428;0.558;
500000;0.435;0.42;
510000;0.425;0.424;
520000;0.328;0.384;
530000;0.489;0.462;
540000;0.481;0.472;
550000;0.658;0.327;
560000;0.486;0.489;
570000;0.53;0.54;
580000;0.499;0.503;
590000;0.528;0.523;
600000;0.557;0.567;
610000;0.543;0.579;
620000;0.603;0.609;
630000;0.597;0.61;
640000;0.623;0.472;
650000;0.615;0.618;
660000;0.752;0.704;
670000;0.451;0.376;
680000;0.621;0.597;
690000;0.64;0.66;
700000;0.69;0.779;
710000;0.739;0.731;
720000;0.604;0.755;
730000;0.782;0.649;
740000;0.435;0.383;
750000;0.669;0.653;
760000;0.897;0.427;
770000;0.751;0.685;
780000;0.7;0.467;
790000;0.694;0.686;
800000;0.701;0.478;
810000;0.71;0.702;
820000;0.581;0.441;
830000;0.726;0.735;
840000;0.736;0.837;
850000;0.904;0.932;
860000;0.85;0.861;
870000;0.832;0.629;
880000;0.831;0.813;
890000;0.571;0.742;
900000;0.851;0.851;
910000;0.893;0.877;
920000;0.97;0.559;
930000;0.859;0.857;
940000;0.788;0.852;
950000;1.092;0.705;
960000;0.927;1.001;
970000;0.745;0.989;
980000;0.959;0.833;
990000;0.973;0.957;
1000000;0.804;0.948;
